Name,IP,Port,DeviceID,RegisterType,StartAddress,Timeout
低压电源总开关,10.70.50.106,8899,75,Holding,1,1
21#-中层漆烘房,10.70.50.106,8899,76,Holding,1,1
1AP4照明4,10.70.50.106,8899,77,Holding,1,1
备用电源22,10.70.50.106,8899,78,Holding,1,1
备用电源23,10.70.50.106,8899,79,Holding,1,1
后勤设施3,10.70.50.106,8899,80,Holding,1,1
中层漆环保+废水站,10.70.50.106,8899,81,Holding,1,1
备用电源24,10.70.50.106,8899,82,Holding,1,1
备用电源25,10.70.50.106,8899,83,Holding,1,1
备用电源26,10.70.50.106,8899,84,Holding,1,1
后勤设施4,10.70.50.106,8899,85,Holding,1,1
备用电源27,10.70.50.107,8899,86,Holding,1,1
RTO环保,10.70.50.107,8899,87,Holding,1,1
22#-外面漆工艺通风,10.70.50.107,8899,88,Holding,1,1
23#-外面漆纵向烘房,10.70.50.107,8899,89,Holding,1,1
24#-外面漆横向烘房,10.70.50.107,8899,90,Holding,1,1
黑漆（喷标）环保,10.70.50.107,8899,91,Holding,1,1
外面漆环保2,10.70.50.107,8899,92,Holding,1,1
25#-完工线1,10.70.50.107,8899,93,Holding,1,1
备用电源28,10.70.50.107,8899,94,Holding,1,1
26#-完工线2,10.70.50.107,8899,95,Holding,1,1
备用电源29,10.70.50.107,8899,96,Holding,1,1
外面漆环保1,10.70.50.107,8899,97,Holding,1,1
