Name,IP,Port,DeviceID,RegisterType,StartAddress,Timeout
低压电源总开关,10.70.50.100,8899,1,Holding,1,1
1#-底架线1,10.70.50.100,8899,2,Holding,1,1
1AP1照明1,10.70.50.100,8899,3,Holding,1,1
备用电源1,10.70.50.100,8899,4,Holding,1,1
直流屏电源1,10.70.50.100,8899,5,Holding,1,1
高配室电源(空调),10.70.50.100,8899,6,Holding,1,1
28#-辅房用电,10.70.50.100,8899,7,Holding,1,1
备用电源2,10.70.50.100,8899,8,Holding,1,1
备用电源3,10.70.50.100,8899,9,Holding,1,1
备用电源4,10.70.50.100,8899,10,Holding,1,1
后勤设施1,10.70.50.100,8899,11,Holding,1,1
2#-底架线2,10.70.50.101,8899,12,Holding,1,1
备用电源5,10.70.50.101,8899,13,Holding,1,1
3#-底架线3,10.70.50.101,8899,14,Holding,1,1
备用电源6,10.70.50.101,8899,15,Holding,1,1
4#-前端线,10.70.50.101,8899,16,Holding,1,1
5#-门框线,10.70.50.101,8899,17,Holding,1,1
6#-门板线,10.70.50.101,8899,18,Holding,1,1
11#-1AP/1焊烟2,10.70.50.101,8899,19,Holding,1,1
7#-顶板线,10.70.50.101,8899,20,Holding,1,1
8#-焊烟1,10.70.50.101,8899,21,Holding,1,1
联络开关1,10.70.50.101,8899,22,Holding,1,1
