Name,IP,Port,DeviceID,RegisterType,StartAddress,Timeout
低压电源总开关,10.70.50.104,8899,50,Holding,1,1
27#空压机站电源,10.70.50.104,8899,51,Holding,1,1
1AP3照明3,10.70.50.104,8899,52,Holding,1,1
备用电源14,10.70.50.104,8899,53,Holding,1,1
备用电源15,10.70.50.104,8899,54,Holding,1,1
变电站电源,10.70.50.104,8899,55,Holding,1,1
备用电源16,10.70.50.104,8899,56,Holding,1,1
车间网络机房电源,10.70.50.104,8899,57,Holding,1,1
油漆维修班,10.70.50.104,8899,58,Holding,1,1
备用电源17,10.70.50.104,8899,59,Holding,1,1
备用电源18,10.70.50.104,8899,60,Holding,1,1
30#总装4,10.70.50.105,8899,61,Holding,1,1
空压机2,10.70.50.105,8899,62,Holding,1,1
17#-富锌动力,10.70.50.105,8899,63,Holding,1,1
16#-打砂房2,10.70.50.105,8899,64,Holding,1,1
19#-富锌烘房,10.70.50.105,8899,65,Holding,1,1
富锌环保,10.70.50.105,8899,66,Holding,1,1
29#-侧板3,10.70.50.105,8899,67,Holding,1,1
18#-富锌工艺通风,10.70.50.105,8899,68,Holding,1,1
20#-中层工艺通风,10.70.50.105,8899,69,Holding,1,1
空压机4,10.70.50.105,8899,70,Holding,1,1
联络开关2,10.70.50.105,8899,71,Holding,1,1
